"category_group_id";"category_group";"category_count";"attribute_source_category_id"
"2198";"Bremsgriffe";"1";"16171"
"2199";"Bremsscheiben";"1";"16172"
"2200";"Brennstoffe";"16";"16185"
"2201";"Briefablagen";"1";"16189"
"2202";"Briefkästen";"10";"16190"
"2204";"Brieföffner";"1";"16201"
"2203";"Briefumschläge";"1";"16200"
"2205";"Brillenetuis";"1";"16202"
"2206";"Brillenfassungen";"1";"16203"
"2207";"Broschen";"9";"16211"
"2208";"Brotbackautomaten";"2";"16214"
"2209";"Brustwarzenabdeckungen";"3";"16215"
"2216";"Bücher";"15";"16278"
"2210";"Buchstützen";"3";"16219"
"2217";"Bügelbrettbezüge";"3";"16290"
"2218";"Bügelbretter";"4";"16293"
"2219";"Bügeleisen";"6";"16301"
"2220";"Bügelhilfemittel";"6";"16306"
"2221";"Bügelmaschinen";"6";"16309"
"2222";"Bügelsohlen";"1";"16315"
"2223";"Bügelsysteme";"1";"16316"
"2224";"Bügeltücher";"1";"16317"
"2211";"Buggyboards";"1";"16221"
"2212";"Bunddehner";"1";"16222"
"2225";"Büroklammern";"1";"16318"
"2227";"Camcorder";"15";"16325"
"2228";"Campingtoiletten";"1";"16337"
"2229";"Caps";"8";"16345"
"2230";"Carports";"4";"16347"
"2231";"Charms";"20";"16368"
"2232";"Chipkartenleser";"7";"16372"
"2233";"Chlordosierer";"3";"16377"
"2226";"CI-Module";"3";"16320"
"2234";"Cocktail-Sets";"1";"16380"
"2235";"Colorationen";"16";"16387"
"2236";"Computer Komplettsysteme";"3";"16397"
"2237";"Computer-Kühler";"6";"16404"
"2238";"Computer-Mäuse";"6";"16409"
"2239";"Computergehäuse";"5";"16413"
"2240";"Crepesmaker";"4";"16417"
"2241";"Crosstrainer";"4";"16421"
"2243";"Dachdurchführungen";"1";"16426"
"2244";"Dachfensteröffner";"3";"16428"
"2245";"Dachpappen";"4";"16431"
"2308";"Dämmmaterialien";"12";"16766"
"2246";"Dampf-Tapetenablöser";"1";"16434"
